indicator;ISO Country code;population;surface area (Km2);;GINI index;happy planet index;human development index;world happiness report score;sustainable economic development assessment (SEDA);;GDP 
(billions PPP);GDP per capita (PPP);GDP growth
(annual %);health expenditure 
% of GDP;health expenditure 
per person;education expenditure
% of GDP;education expenditure 
per person ;school life expectancy (YEARS);unemployment (%);government spending score;government expenditure (% of GDP);;political rights score ;civil liberties score ;political stability & absence of violence;government effectiveness;regulatory quality;rule of law;control of corruption;judicial effectiveness score;government integrity score;property rights score;tax burden score;overall economic freedom score;financial freedom score;women MPs (% of all MPs)
source;FAO;World Bank Data;CIA World Factbook;;CIA World Factbook;Happy Planet Index;UNDP;World Happiness Report;Boston Consulting Group (BCG);;Heritage Foundation;Heritage Foundation;Heritage Foundation;World Bank;World Bank;World Bank;our calcs;CIA World Factbook;Heritage Foundation;Heritage Foundation;Heritage Foundation;;Freedom House;Freedom House;World Bank;World Bank;World Bank;World Bank;World Bank;Heritage Foundation;Heritage Foundation;Heritage Foundation;Heritage Foundation;Heritage Foundation;Heritage Foundation;World Bank
URL;http://www.fao.org/countryprofiles/iso3list/en/;https://data.worldbank.org/indicator/SP.POP.TOTL;https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html#al;;https://www.cia.gov/library/publications/the-world-factbook/rankorder/2172rank.html;http://happyplanetindex.org/;http://hdr.undp.org/en/data#;http://worldhappiness.report/ed/2018/;https://www.bcg.com/en-gb/publications/interactives/seda-2018-guide.aspx;;https://www.heritage.org/index/explore;https://www.heritage.org/index/explore;https://www.heritage.org/index/explore;https://data.worldbank.org/indicator/SH.XPD.CHEX.GD.ZS;https://data.worldbank.org/indicator/SH.XPD.CHEX.PP.CD;https://data.worldbank.org/indicator/SE.XPD.TOTL.GD.ZS?view=chart;;https://www.cia.gov/library/publications/the-world-factbook/fields/2205.html#202;https://www.heritage.org/index/explore;https://www.heritage.org/index/explore;https://www.heritage.org/index/explore;;https://freedomhouse.org/content/freedom-world-data-and-resources;https://freedomhouse.org/content/freedom-world-data-and-resources;http://info.worldbank.org/governance/wgi/#home;http://info.worldbank.org/governance/wgi/#home;http://info.worldbank.org/governance/wgi/#home;http://info.worldbank.org/governance/wgi/#home;http://info.worldbank.org/governance/wgi/#home;https://www.heritage.org/index/explore;https://www.heritage.org/index/explore;https://www.heritage.org/index/explore;https://www.heritage.org/index/explore;https://www.heritage.org/index/explore;https://www.heritage.org/index/explore;https://data.worldbank.org/indicator/SG.GEN.PARL.ZS
notes;;;;;inequality in the distribution of family income. Lower the better.;well being + life expectancy + inequalities + ecological footprint  
(higher = better);healthy life + knowledge + standard of living  
(high = better);polled inhabitants rate their quality of life from 1-10
(higher = better);an assessment based on 40 indicators in sustainability, economics, & investments
(higher = better);;;;;;(current international $);;(current USD per capita);average male & female, primary to tertiary (years) ;;Burden of gov spending on the country (0 = best);;;out of 7
 (higher = better);out of 7
 (higher = better);Likelihood of political instability ;Quality of public services, civil service, policy formation, government commitment (-2.5 to +2.5);level of policies to support private sector;quality of rule of law + likelihood of crime / violence;;judicial independence + quality of the judicial process,
fairness
(/100);Public trust + transparency + corruption ;How freely can inhabitants acquire private property?;Individual tax rate + corporate tax rate + total tax as % of GDP ;;Level of gov regulation of financial services, foreign competition, credit & capital development ;
data year;2018.00;2018.00;2018.00;;varies by country;2016.00;2017.00;2017.00;2018.00;;2018.00;2018.00;2018.00;2015.00;2015.00;2014.00;2014.00;latest year;2018.00;2018.00;2018.00;;2017.00;2017.00;2017.00;2017.00;2017.00;2017.00;2017.00;2018.00;2018.00;2018.00;2018.00;2017.00;2018.00;2017.00
Afghanistan;AFG;36000000.00;652230.00;;-;20.20;0.50;2.66;-;;64.10;1919.00;1.50;10.30;184.00;3.78;23.79;11.00;8.50;79.30;26.30;;5.00;6.00;-2.78;-1.33;-1.34;-1.57;-1.52;28.20;26.20;17.90;91.80;51.30;10.00;27.70
